open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,EMA50,EMA200,VWAP,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,KCLe_20_1.0,KCBe_20_1.0,KCUe_20_1.0,OBV,CMF
2022-10-15,72.9,73.4,71.4,71.9,26605.732,2022-10-15 23:59:59.999,1923602.51430000,9729,13158.06500000,951810.54510000,0,79.47870823424422,,72.23333333333333,-1.9878448030529654,-0.11968014959880735,-1.868164653454158,20.389601163444144,11.879491328296533,70.1625964618725,74.85999999999999,79.55740353812747,12.5498357951576,0.18493232740443724,70.95288002138271,74.70458704618214,78.45629407098157,90925.43599999981,0.04439803559823083
2022-10-16,71.8,76.3,71.8,75.8,45262.259,2022-10-16 23:59:59.999,3371414.80220000,15700,22956.32600000,1712065.06610000,0,79.33444516623464,,74.63333333333333,-1.6607912796589233,0.16589869903618792,-1.8266899786951112,51.3676782939206,28.563246126354837,70.16222275006477,74.83999999999999,79.51777724993521,12.50074091377664,0.6026128381822053,70.98593906696532,74.8089120894029,78.63188511184048,136187.6949999998,0.017356816768524085
2022-10-17,75.9,79.7,74.7,78.9,84774.672,2022-10-17 23:59:59.999,6584804.16100000,24993,43663.91600000,3395360.55250000,0,79.31740810089211,,77.76666666666667,-1.1383329205364277,0.5506856465269467,-1.6890185670633744,72.08496660529987,47.94741535422154,70.00465657756921,74.955,79.90534342243079,13.208841097807461,0.8984572042138114,71.26346867963528,75.19853950945976,79.13361033928425,220962.3669999998,0.09189258101735731
2022-10-18,78.9,83.7,77.9,82.5,138966.218,2022-10-18 23:59:59.999,11172249.99630000,41906,74067.80800000,5962761.29350000,0,79.44221562634732,,81.36666666666667,-0.4288475061750887,1.0081368487106286,-1.4369843548857173,97.64474379714312,73.69912956545454,69.33359669511088,75.24,81.1464033048891,15.700168274559042,1.1145872221416404,71.78123356728906,75.89391669903502,80.00659983078097,359928.5849999998,0.1056385014092946
2022-10-19,82.4,85.8,81.2,82.8,158135.677,2022-10-19 23:59:59.999,13179349.76270000,42362,81437.22700000,6795619.87040000,0,79.57389344492194,,83.26666666666667,0.15583590970545913,1.2742562116729412,-1.118420301967482,100.0,89.90990346748102,68.79577897676576,75.535,82.27422102323423,17.843969082502777,1.0390088835900382,72.39254465611867,76.55163891817453,80.71073318023039,518064.26199999976,0.040087424096993465
2022-10-20,82.8,83.9,80.0,80.7,97828.067,2022-10-20 23:59:59.999,8005505.03860000,28403,41312.52800000,3384918.87780000,0,79.61805448629755,,81.53333333333335,0.44462393172348413,1.250435386952773,-0.8058114552292888,93.1606497675674,96.93513118823687,68.75440898724736,75.84,82.92559101275265,18.685630307891994,0.8429495148148527,72.8123023079169,76.94672092596744,81.08113954401799,420236.1949999998,0.031459571746022014
2022-10-21,80.8,83.3,78.3,82.1,118974.477,2022-10-21 23:59:59.999,9643207.53940000,32111,54641.32400000,4429782.81430000,0,79.71538568291334,,81.23333333333333,0.7774963258205219,1.2666462248398485,-0.4891498990193266,89.5213824118566,94.22734405980803,68.66312233789614,76.22,83.77687766210386,19.82912007899202,0.8890495693404533,73.22065446906765,77.43750940920863,81.6543643493496,539210.6719999998,0.08949404230094883
2022-10-22,82.1,84.4,81.3,82.2,47539.088,2022-10-22 23:59:59.999,3935842.58610000,16455,24093.39900000,1996154.72380000,0,79.81282153848537,,82.63333333333333,1.0374106365709679,1.2212484284722356,-0.1838377919012677,86.11433808229397,89.59879008723935,68.90795277221679,76.7,84.49204722778322,20.318245704780217,0.8529239389354107,73.78059213868026,77.89107994166496,82.00156774464965,586749.7599999998,0.12417166501002577
2022-10-23,82.1,90.1,81.5,88.8,95579.844,2022-10-23 23:59:59.999,8168541.69700000,33583,52804.92000000,4515342.07200000,0,80.16525990952516,,86.8,1.7557205878817541,1.5516467038264175,0.20407388405533666,92.95368831472656,89.5298029362924,67.98730838638808,77.365,86.74269161361191,24.242723747461813,1.1096916208783119,74.39196431594881,78.93002470912543,83.46808510230206,682329.6039999998,0.13478427927194123
2022-10-24,88.9,90.0,84.6,85.1,137506.905,2022-10-24 23:59:59.999,12032239.24240000,37177,68198.90100000,5974816.01440000,0,80.35877912875947,,86.56666666666666,2.003334132779017,1.4394081989789442,0.5639259338000727,87.55370456070882,88.87391031924312,67.72253799303847,77.67499999999998,87.6274620069615,25.625907967715516,0.8730232777983177,74.89749152395369,79.51764140349444,84.13779128303518,544822.6989999998,0.0316790268810202
